_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ mapa_random_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
iteração 0 mapa_random| tempo exec  14.440460681915283
iteração 1 mapa_random| tempo exec  13.87014627456665
iteração 2 mapa_random| tempo exec  14.130457162857056
iteração 3 mapa_random| tempo exec  13.801545143127441
iteração 4 mapa_random| tempo exec  13.825586795806885
iteração 5 mapa_random| tempo exec  13.863117694854736
iteração 6 mapa_random| tempo exec  11.266624450683594
iteração 7 mapa_random| tempo exec  13.002308368682861
iteração 8 mapa_random| tempo exec  13.312037229537964
iteração 9 mapa_random| tempo exec  12.17171025276184
iteração 10 mapa_random| tempo exec  13.570205688476562
iteração 11 mapa_random| tempo exec  13.544400215148926
iteração 12 mapa_random| tempo exec  13.760724782943726
iteração 13 mapa_random| tempo exec  12.894816398620605
iteração 14 mapa_random| tempo exec  13.6280837059021
iteração 15 mapa_random| tempo exec  12.928247928619385
iteração 16 mapa_random| tempo exec  12.961714744567871
iteração 17 mapa_random| tempo exec  13.784069299697876
iteração 18 mapa_random| tempo exec  14.083729267120361
iteração 19 mapa_random| tempo exec  12.714062452316284
iteração 20 mapa_random| tempo exec  13.975817680358887
iteração 21 mapa_random| tempo exec  12.242471694946289
iteração 22 mapa_random| tempo exec  12.743407249450684
iteração 23 mapa_random| tempo exec  13.42235279083252
iteração 24 mapa_random| tempo exec  14.435787439346313
iteração 25 mapa_random| tempo exec  13.541712760925293
iteração 26 mapa_random| tempo exec  12.662444353103638
iteração 27 mapa_random| tempo exec  13.692164421081543
iteração 28 mapa_random| tempo exec  13.687894821166992
iteração 29 mapa_random| tempo exec  12.3360595703125
iteração 30 mapa_random| tempo exec  13.007097721099854
iteração 31 mapa_random| tempo exec  13.311776876449585
iteração 32 mapa_random| tempo exec  13.027255773544312
iteração 33 mapa_random| tempo exec  11.224589586257935
iteração 34 mapa_random| tempo exec  13.286175966262817
iteração 35 mapa_random| tempo exec  9.357545614242554
iteração 36 mapa_random| tempo exec  13.047106504440308
iteração 37 mapa_random| tempo exec  13.481069326400757
iteração 38 mapa_random| tempo exec  13.10201907157898
iteração 39 mapa_random| tempo exec  13.56804609298706
iteração 40 mapa_random| tempo exec  13.098832368850708
